Region,bmi
Andhra Pradesh,20
Andhra Pradesh,20
Andhra Pradesh,24
Andhra Pradesh,25
Andhra Pradesh,26
Andhra Pradesh,26
Andhra Pradesh,24
Andhra Pradesh,25
Andhra Pradesh,27
Andhra Pradesh,24
Andhra Pradesh,27
Andhra Pradesh,24
Andhra Pradesh,27
Andhra Pradesh,19
Andhra Pradesh,24
Andhra Pradesh,26
Andhra Pradesh,26
Andhra Pradesh,23
Andhra Pradesh,23
Andhra Pradesh,19
Andhra Pradesh,27
Andhra Pradesh,26
Andhra Pradesh,23
Andhra Pradesh,25
Andhra Pradesh,27
Andhra Pradesh,26
Andhra Pradesh,20
Andhra Pradesh,19
Andhra Pradesh,20
Andhra Pradesh,25
Andhra Pradesh,19
Andhra Pradesh,22
Andhra Pradesh,22
Andhra Pradesh,24
Andhra Pradesh,18
Andhra Pradesh,26
Andhra Pradesh,21
Andhra Pradesh,19
Andhra Pradesh,26
Andhra Pradesh,20
Andhra Pradesh,25
Andhra Pradesh,18
Andhra Pradesh,27
Andhra Pradesh,22
Andhra Pradesh,25
Andhra Pradesh,24
Andhra Pradesh,18
Andhra Pradesh,18
Andhra Pradesh,21
Andhra Pradesh,27
Andhra Pradesh,22
Andhra Pradesh,23
Andhra Pradesh,25
Andhra Pradesh,21
Andhra Pradesh,27
Andhra Pradesh,27
Andhra Pradesh,24
Andhra Pradesh,24
Andhra Pradesh,18
Andhra Pradesh,18
Andhra Pradesh,24
Andhra Pradesh,26
Andhra Pradesh,18
Andhra Pradesh,18
Andhra Pradesh,18
Andhra Pradesh,26
Andhra Pradesh,24
Andhra Pradesh,19
Andhra Pradesh,27
Andhra Pradesh,25
Andhra Pradesh,21
Andhra Pradesh,24
Andhra Pradesh,26
Andhra Pradesh,25
Andhra Pradesh,26
Andhra Pradesh,23
Andhra Pradesh,18
Andhra Pradesh,25
Andhra Pradesh,21
Andhra Pradesh,24
Andhra Pradesh,25
Andhra Pradesh,21
Andhra Pradesh,24
Andhra Pradesh,22
Andhra Pradesh,22
Andhra Pradesh,18
Andhra Pradesh,22
Andhra Pradesh,26
Andhra Pradesh,18
Andhra Pradesh,20
Andhra Pradesh,20
Andhra Pradesh,24
Andhra Pradesh,19
Andhra Pradesh,26
Andhra Pradesh,19
Andhra Pradesh,26
Andhra Pradesh,26
Andhra Pradesh,24
Andhra Pradesh,26
Andhra Pradesh,24
Andhra Pradesh,22
Andhra Pradesh,26
Andhra Pradesh,20
Andhra Pradesh,22
Andhra Pradesh,25
Andhra Pradesh,18
Andhra Pradesh,21
Andhra Pradesh,23
Andhra Pradesh,20
Andhra Pradesh,25
Andhra Pradesh,21
Andhra Pradesh,20
Andhra Pradesh,19
Andhra Pradesh,20
Andhra Pradesh,26
Andhra Pradesh,21
Andhra Pradesh,22
Andhra Pradesh,21
Andhra Pradesh,19
Andhra Pradesh,23
Andhra Pradesh,22
Andhra Pradesh,18
Andhra Pradesh,21
Andhra Pradesh,24
Andhra Pradesh,22
Andhra Pradesh,22
Andhra Pradesh,26
Andhra Pradesh,22
Andhra Pradesh,19
Andhra Pradesh,26
Andhra Pradesh,19
Andhra Pradesh,25
Andhra Pradesh,23
Andhra Pradesh,23
Andhra Pradesh,22
